Date,Age,Missing from,Circumstances,
01-Jan-08,15,"Málaga, Spain","Fitzpatrick was last seen in Spain while on holiday from her native Ireland. She had been babysitting with a friend on 1 January 2008, and left about 10:10 p.m. that night. Fitzpatrick never arrived home, which was only a short distance away, and she has not been seen or heard from since. Her case is still under investigation, and some evidence suggests a possible kidnapping.",
17-Feb-08,24,"Saint-Romuald, Quebec, Canada","Bergeron left her parents' home around 11 a.m. on 17 February 2008, ostensibly to go for a walk, leaving all her identification at home besides a credit card. She attempted to withdraw money from a nearby ATM, where security camera footage released later showed her looking nervously over her shoulder. Five hours later, she used her credit card to buy a cup of coffee in Saint-Romuald, 20 kilometres (12 mi) from her parents' house, which was the last confirmed sighting of her.",
08-Apr-08,22,"Gastonia, North Carolina, U.S.","Fraley told a friend over the phone at 1:30 a.m. on 8 April 2008 that a male friend, whom she did not identify, was taking her to the hospital for the third time in 24 hours, to seek treatment for a stomach bug. She never arrived to the hospital and has not been seen since. Two days later, her discarded cell phone was found at a nearby intersection, but it did not yield any useful evidence. Two months later, her fiancé's father, who lived nearby and had given her one of her rides to the hospital that day, was revealed to have been a person of interest in her disappearance. This followed his death from heatstroke after he locked himself in the trunk of an ex-girlfriend's car, in what police believe was an attempt to ambush her. In 2015, a prison inmate serving time for murder wrote a letter to a local newspaper confessing to her murder; authorities do not believe it is truthful.",
14-May-08,19,"Marshall, Minnesota, U.S.","After attending a late-night party, Swanson drove his car into a ditch on a side road amid cornfields near his home. He called his parents for a ride; they searched for him near Lynd, 6 miles (9.7 km) southwest of Marshall, where he believed himself to be. While on the phone with his father, he suddenly said, ""Oh, shit!"" and the connection was lost, never to be regained. His whereabouts are unknown, though he has been suggested to have drowned in the Yellow Medicine River, or died of hypothermia.",
11-Jul-08,16,"London, England",Sloley disappeared around midday after he visited a friend in Enfield. His family has had no contact with him since he went missing.,
Aug-08,29–30,"Ürümqi, China","Ablesh, a Uyghur political dissident, was detained in 2008 for criticizing the Chinese government's response to various disasters and treatment of Uyghurs. Although due to be released in 2011, Ablesh hasn't been seen since her imprisonment.",
31-Aug-08,16,"Manchester, England","Ratcliffe was last seen near a hostel in Northern Quarter, after he was dropped off by his aunt to visit a homeless shelter in Longsight. Despite several searches over the years, no trace of him has ever been found.",
10-Dec-08,55,"Saltillo, Mexico","Batista was a Cuban-American former army major who specialized in anti-kidnapping operations, helping negotiate nearly a hundred cases, predominantly in Mexico. While eating in a restaurant in Saltillo, he was kidnapped by unknown assailants, and has not been seen since.",
18-Mar-09,35,"Heworth, York, England","Lawrence was last seen walking to her job as a chef. While some evidence suggested that she had fled to Cyprus, police have a growing suspicion that she is dead.",
27-Apr-09,41,"Kuchinoerabu-jima, Japan","Arnold, an American poet, disappeared after a hike on the Japanese island Kuchinoerabu-jima. He is presumed to have died in a fall from a high cliff, but his body has not been found.",
07-May-09,Unknown,"Colombo, Sri Lanka","Stephan Sunthararaj was a child rights activist in Sri Lanka and provided information to the U.S. embassy in Colombo that: ""Children are sold into slavery, usually boys to work camps and girls to prostitution rings, through Eelam People's Democratic Party's networks in India and Malaysia. Sunthararaj maintained that children are often smuggled out of the country with the help of a corrupt Customs and Immigration official at Bandaranaike International Airport in Colombo. Sunthararaj was kidnapped just hours after he had been released from police custody while he was travelling in his lawyer's car on 7 May 2009 after he was exonerated by the court. He has been missing since.",
18-May-09,Unknown,"Mullaitivu, Sri Lanka",Father Francis  along with hundreds of Sri Lankan Tamils  surrendered to the Sri Lankan army on 18 May 2009.They crossed the Vattuvagal bridge from rebel LTTE held areas and crossed into Sri Lankan government held area and they boarded army buses but were never to be seen again.,
c. May–July 2009,50,"Cleveland, Tennessee, U.S.",Brantley disappeared from her home in the summer of 2009. She is widely believed to have been murdered by her husband.,
13-Aug-09,49,"Lijiang, China","Tseng, a Taiwanese applied mathematician, went missing on a kayaking trip on 13 August 2009 and is believed to be dead.",
23-Aug-09,29,"Penn Valley, Pennsylvania, U.S.","Sharpless was last seen by a friend she asked to get out of her car, after the two had been asked to leave a party due to Sharpless's increasingly belligerent behavior. A license plate reader in Camden, New Jersey, recorded a hit on her car's plates two weeks later, and the anonymous writer of a 2012 letter to a private investigator claimed they had taken the car to a chop shop after Sharpless was killed during a confrontation with a Camden police officer; the letter included the last five digits of the car's VIN and Sharpless's Social Security number, both of which were correct. Neither Sharpless nor her car has been found.",
31-Oct-09,39–40,"Grozny, Chechnya","A human rights activist and employee of the Danish Refugee Council. Gaisanova was kidnapped in Grozny by armed men during a special operation headed by the president of the Chechen Republic, Ramzan Kadyrov. She is believed to have been murdered.",
6–7 December 2009,28,"West Valley City, Utah, U.S.","On the morning of 6 December, Powell and her two sons attended church services, and a neighbor later visited the family around 5 p.m. Powell was never seen again outside her immediate family, although her husband Joshua claimed he'd left her sleeping at home shortly after midnight on 7 December, while he took the children on a camping trip. Joshua Powell was a suspect in her disappearance, but despite circumstantial evidence, he was never charged, and on 5 February 2012, he took his sons' life and his own. Authorities also believed that Joshua's father Steven knew what had happened to Susan, but he died of natural causes in 2018. Susan's ultimate fate remains unknown, although before their deaths, Joshua and Steven both claimed that Susan's disappearance was connected to that of Steven Koecher in a nearby area a week later.",
13-Dec-09,30,"Henderson, Nevada, U.S.","Koecher was last seen on surveillance footage walking away from his car, which he had just parked in a cul-de-sac in a retirement community in the large Anthem section of southern Henderson. Pings from his cellphone, gradually moving north, were picked up as late as two days later. Koecher had driven to the Las Vegas area from St. George, Utah, that morning for unknown reasons; his family believes that given his difficult financial circumstances, he was looking for a better-paying job, and intended to return later that day. Debit card records show that he had driven extensively around Utah and Nevada in the days before his disappearance for reasons that, despite a visit to a former girlfriend's family on one, are still not clear. Theories abound, from a voluntary disappearance to foul play, despite a lack of evidence suggesting any one; Susan Powell's husband and in-laws believed that her own disappearance a week earlier was connected.",
